Date,Note,Amount,Cash Flow,Category,Month,Day,Year
2018-02-07,Current Residence to Place 1 bus stop highway,40.0,Expense,Transport,2,7,2018
2018-01-07,2 PVR ,461.0,Expense,Shopping & Lifestyle,1,7,2018
2018-01-07,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Expense,Transport,1,7,2018
2018-01-07,Vadapav,15.0,Expense,Food & Beverage,1,7,2018
2018-01-07,undergarments pair of Jockey,430.0,Expense,Shopping & Lifestyle,1,7,2018
2018-01-07,clothes ironing,98.0,Expense,Shopping & Lifestyle,1,7,2018
2018-01-07,milk 1lit ,72.0,Expense,Food & Beverage,1,7,2018
2018-06-30,Aqugurad PRV,1200.0,Expense,Household,6,30,2018
2018-06-29,Tulsi plant+ pot,70.0,Expense,Household,6,29,2018
2018-06-29,Math tap repair,50.0,Expense,Household,6,29,2018
2018-06-29,3 bulbs 3 pencil cells,270.0,Expense,Household,6,29,2018
2018-06-28,Home Food Delivery,455.0,Expense,Food & Beverage,6,28,2018
2018-06-28,Bhaji + vadapav + kachori+ tea,70.0,Expense,Food & Beverage,6,28,2018
2018-06-28,Vadala road to Nehru Planetarium,228.0,Expense,Transport,6,28,2018
2018-06-28,Mast & Harbour Slides,64.82,Expense,Shopping & Lifestyle,6,28,2018
2018-06-27,Planetarium,308.85,Expense,Transport,6,27,2018
2018-06-27,2 cups,14.0,Expense,Food & Beverage,6,27,2018
2018-06-27,Mobile cover real mi note pro,100.0,Expense,Household,6,27,2018
2018-06-27,Shopping at Alfa,4720.0,Expense,Other,6,27,2018
2018-06-27,Mouse pad,100.0,Expense,Household,6,27,2018
2018-06-27,Purse,450.0,Expense,Shopping & Lifestyle,6,27,2018
2018-06-27,Rainy season chappal,550.0,Expense,Shopping & Lifestyle,6,27,2018
2018-06-27,Place P station to Alfa market,25.0,Expense,Transport,6,27,2018
2018-06-27,2 Place 0 to Place P return,80.0,Expense,Transport,6,27,2018
2018-06-27,2 Current Residence to Place 0,30.0,Expense,Transport,6,27,2018
2018-06-26,2 Place 0 to Current Residence,30.0,Expense,Transport,6,26,2018
2018-06-26,Supermart,1990.0,Expense,Household,6,26,2018
2018-06-26,Aqugurad water purifier,13050.0,Expense,Household,6,26,2018
2018-06-26,Umbrella handle repair,70.0,Expense,Household,6,26,2018
2018-06-26,Place 0 to Place 4 return,20.0,Expense,Transport,6,26,2018
2018-06-26,2 cutting chai,20.0,Expense,Food & Beverage,6,26,2018
2018-06-26,Bhaji + vadapav,30.0,Expense,Food & Beverage,6,26,2018
2018-06-25,Home Food Delivery,320.0,Expense,Food & Beverage,6,25,2018
2018-06-25,Smart point,2074.0,Expense,Household,6,25,2018
2018-06-24,2 Place 0 to Current Residence,40.0,Expense,Transport,6,24,2018
2018-06-24,Bread,18.0,Expense,Food & Beverage,6,24,2018
2018-06-24,milk 1lit ,72.0,Expense,Food & Beverage,6,24,2018
2018-06-24,Suppliemnts,211.75,Expense,Health & Grooming,6,24,2018
2018-06-24,2 Place 5 to Place 0,30.0,Expense,Transport,6,24,2018
2018-06-24,Permanent Residence - Tata Play recharge,157.0,Expense,Subscriptions & Utilities,6,24,2018
2018-06-24,2 Vadapav 2 samosa pav,60.0,Expense,Food & Beverage,6,24,2018
2018-06-23,Annual recharge,2545.0,Expense,Subscriptions & Utilities,6,23,2018
2018-06-22,Data booster pack,181.0,Expense,Subscriptions & Utilities,6,22,2018
2018-06-19,Data booster pack,25.0,Expense,Subscriptions & Utilities,6,19,2018
2018-06-18,Data booster pack,15.0,Expense,Subscriptions & Utilities,6,18,2018
2018-06-15,Data booster pack,15.0,Expense,Subscriptions & Utilities,6,15,2018
2018-06-15,2CC Place 2 to DDR Spl Train,1213.6,Expense,Transport,6,15,2018
2018-11-06,12 eggs,84.0,Expense,Food & Beverage,11,6,2018
2018-11-06,Marathon,1407.0,Expense,Shopping & Lifestyle,11,6,2018
2018-10-06,Sofa covers,3000.0,Expense,Household,10,6,2018
2018-09-06,Data booster pack,667.0,Expense,Subscriptions & Utilities,9,6,2018
2018-05-28,Data booster pack,25.0,Expense,Subscriptions & Utilities,5,28,2018
2018-05-28,hair cut,100.0,Expense,Health & Grooming,5,28,2018
2018-05-27,Soap + dahya pav kg,75.0,Expense,Household,5,27,2018
2018-05-26,Permanent Residence to Motor Driving school,50.0,Expense,Transport,5,26,2018
2018-05-24,Data booster pack,667.0,Expense,Subscriptions & Utilities,5,24,2018
2018-05-23,Permanent Residence - Tata Play recharge,166.0,Expense,Subscriptions & Utilities,5,23,2018
2018-05-22,2 All out refill,154.0,Expense,Health & Grooming,5,22,2018
2018-05-20,"Soap, shampoo, razor",122.0,Expense,Family & Gifts,5,20,2018
2018-05-19,flour mill,25.0,Expense,Household,5,19,2018
2018-05-19,Data booster pack,15.0,Expense,Subscriptions & Utilities,5,19,2018
2018-05-18,Data booster pack,301.0,Expense,Subscriptions & Utilities,5,18,2018
2018-05-15,Cookies & cream family pack,135.0,Expense,Food & Beverage,5,15,2018
2018-05-15,within city,30.0,Expense,Transport,5,15,2018
2018-05-15,LG Washing Machine,21500.0,Expense,Household,5,15,2018
2018-05-15,Permanent Residence to GH road,50.0,Expense,Transport,5,15,2018
2018-05-14,Data booster pack,301.0,Expense,Subscriptions & Utilities,5,14,2018
2018-05-14,Digilock room charges,40.0,Expense,Other,5,14,2018
2018-05-14,Place 2 station to Permanent Residence,50.0,Expense,Transport,5,14,2018
2018-05-14,Potato chips,15.0,Expense,Food & Beverage,5,14,2018
2018-05-14,2 dozens mango + 1kg litchi,1250.0,Expense,Food & Beverage,5,14,2018
2018-05-14,2 Place 0 to Place 3,40.0,Expense,Transport,5,14,2018
2018-05-14,2 Current Residence to Place 0,40.0,Expense,Transport,5,14,2018
2018-05-13,clothes ironing,77.0,Expense,Shopping & Lifestyle,5,13,2018
2018-05-13,Gel pen Refills,12.0,Expense,Education,5,13,2018
